"","code","weight","model","AIC","topt","rmax","breadth"
"68","TLCRP015",53.6,"quadratic",1423.40674063755,40.7888661085389,109.635061243086,5.26799999999999
"69","TLCRP015",53.6,"sharpeschoolhigh",1410.20182167969,37.4918661085389,128.127377030591,4.685
"70","TLCRP015",53.6,"spain",1412.45024109334,37.8488661085389,119.613348146892,5.631
"71","TLCRP015",53.6,"thomas1",1424.27338058326,39.6818661085389,97.5701773056537,8.994
"72","TLCRP015",53.6,"weibull",1422.85879275978,37.3948661085389,100.946431105797,9.05
"73","TLCRP016",77.4,"gaussian",1325.20341077125,38.5603525065476,122.599165682404,10.429
"74","TLCRP016",77.4,"joehnk",1309.9743599124,37.7793525065476,154.606153811559,5.589
"75","TLCRP016",77.4,"modifiedgaussian",1298.53476583571,36.5243525065476,248.83727959443,2.812
"76","TLCRP016",77.4,"quadratic",1327.895631637,41.1573525065476,130.651679379071,7.51799999999999
"77","TLCRP016",77.4,"sharpeschoolhigh",1310.51145434439,37.5623525065476,153.554326380332,5.682
"78","TLCRP016",77.4,"spain",1312.502873629,37.7283525065476,146.99253327938,6.514
"79","TLCRP016",77.4,"thomas1",1324.14138993059,36.8333525065476,124.655785738972,10.794
"80","TLCRP016",77.4,"weibull",1321.17098538506,36.3973525065476,136.450004476959,8.515
"81","TLCRP017",50.6,"gaussian",1835.10197934436,38.114823458334,58.1330744565288,22.345
"82","TLCRP017",50.6,"joehnk",1850.87586244552,52.391823458334,56.2817793411643,23.37
"83","TLCRP017",50.6,"modifiedgaussian",1814.19013348136,37.200823458334,104.686106547919,1.792
"84","TLCRP017",50.6,"quadratic",1836.21395294604,38.257823458334,56.3953870123402,25.482
"85","TLCRP017",50.6,"sharpeschoolhigh",1836.11683817356,37.704823458334,59.3659918100525,20.591
"86","TLCRP017",50.6,"spain",1839.3327710327,36.778823458334,54.3625917193581,29.26
"87","TLCRP017",50.6,"thomas1",1844.53929524833,42.439823458334,59.5256490137278,18.809
"88","TLCRP017",50.6,"weibull",1837.25805096538,38.218823458334,57.9518786155459,22.613
"89","TLCRP018",85.9,"gaussian",1917.97124042779,37.6075499209135,109.927398864329,16.385
"90","TLCRP018",85.9,"joehnk",1932.61590769493,49.3835499209135,102.246190122422,18.246
"91","TLCRP018",85.9,"modifiedgaussian",1908.87125421797,38.2975499209135,213.136326416345,2.644
"92","TLCRP018",85.9,"quadratic",1919.8068167227,36.9695499209135,104.262721149122,19.55
"93","TLCRP018",85.9,"sharpeschoolhigh",1917.01862145375,39.0445499209135,117.15018372775,13.195
"94","TLCRP018",85.9,"spain",1919.23484296851,40.9465499209135,109.684601759254,16.126
"95","TLCRP018",85.9,"thomas1",1919.99364798388,41.4035499209135,113.305598535608,14.538
"96","TLCRP018",85.9,"weibull",1917.91204501133,39.1935499209135,113.76199988052,14.695
"97","TLCRP021",100.9,"gaussian",1481.60693096491,36.0969217891399,125.637070014137,12.789
"98","TLCRP021",100.9,"joehnk",1459.43885074165,32.9979217891399,174.431528736717,4.769
"99","TLCRP021",100.9,"modifiedgaussian",1448.42333785299,31.0439217891399,257.547198457293,2.171
"100","TLCRP021",100.9,"quadratic",1481.69460450874,36.0969217891399,128.682001942717,11.987
"101","TLCRP021",100.9,"sharpeschoolhigh",1465.0036828092,33.5229217891399,162.065538176693,6.043
"102","TLCRP021",100.9,"spain",1466.75562806713,32.9119217891399,153.634712136891,7.178
"103","TLCRP021",100.9,"thomas1",1481.77060347575,30.8349217891399,138.673018844197,10.201
